lp,Temp,CaO,MgO,SiO2,Fe_total,MnO,Al2O3,TiO2,V2O5
4.477336814,1639,43.1,9.28,11.9,18.8,4,1.84,0.92,2.217
4.142200583,1650,40.7,11.88,13.6,16.2,4.87,2.92,1.03,2.627
4.195149261,1677,52,9.63,13,14.1,3.15,1.98,0.77,1.661
3.834061464,1628,40.5,7.45,12,24.8,2.96,1.28,0.72,1.774
4.371555335,1642,48,10.14,13.7,14.1,4.47,1.78,1.1,2.538
3.921072841,1607,43.6,11.01,13.7,15.1,4.6,2.64,1.1,2.476
4.270235229,1626,44.1,12.08,12.4,14.4,3.99,1.44,1,2.431
4.48863637,1636,41.4,11.96,17.7,12.4,4.1,2.67,1.22,2.406
4.571268634,1613,38.1,8.64,16.6,19,4.67,2.32,1.06,2.18
4.437289313,1626,43.4,11.3,14.6,14.9,4.25,1.92,1.11,2.404
4.818263401,1621,43.9,10.76,14.7,15.8,4.13,1.74,0.95,2.303
3.613167632,1661,40.5,11.99,13.7,16.9,4.27,1.83,1.06,2.287
3.874981734,1678,51.2,10.68,14.1,10.2,3.92,1.45,1.08,2.686
4.301983927,1653,43.4,11.88,13.8,14,4.08,2.81,0.89,2.225
3.327866109,1675,52.7,8.62,13.7,10.6,3.53,1.94,1.1,2.419
4.030974948,1676,53.4,8.52,15.1,9.6,3.78,2.38,1.21,2.853
3.966090227,1653,51.2,9.36,13.4,11.6,3.63,2.18,1.08,2.444
4.030974948,1653,52.7,8.24,15,9.8,3.69,2.38,1.19,2.804
3.741801856,1668,54.6,9.79,14.9,8.9,3.57,1.78,1.16,2.479
4.301983927,1637,47.9,7.42,12.7,16.9,3.77,1.69,1.01,2.19
4.548011772,1653,45.1,10.36,11.3,16.8,4.09,2.11,0.96,1.987
4.710530702,1612,42.2,6.91,12.5,19.6,4.56,2.76,0.99,2.246
4.158883083,1641,43.7,12.66,11.9,15.2,4.77,2.33,0.98,2.352
4.428983618,1636,42.4,9.83,14.6,16,4.99,1.3,1.29,2.504
4.479400799,1635,45.9,7.33,13.9,16.3,4.14,2.59,1.03,2.243
4.238925791,1652,46.4,6.55,13.7,16.3,5.16,1.73,1.23,2.586
4.230476737,1640,46.9,10.28,13.9,12.6,5,1.6,1.17,2.765
4.104707349,1647,44.2,12.31,11.9,15.3,4.74,2.31,0.99,2.368
4.238238742,1639,54.2,9.58,14.6,8.9,3.59,1.8,1.17,2.519
4.317488114,1646,40.6,8.86,12.4,20.4,4.66,1.09,0.98,2.32
4.49980967,1639,45.6,9.13,13.2,16.1,4.76,1.32,1.08,2.71
4.43279896,1636,52,7.84,11.9,13.6,3.76,2.14,0.95,2.275
3.995904489,1654,52.3,10.38,12.2,13.5,3.38,1.8,1,1.91
4.48863637,1655,47.1,10.25,11.6,17.1,4.08,1.69,1.02,2.141
4.437289313,1659,44.5,9.14,12.1,17.7,4.51,1.91,1,2.242
4.33946702,1619,37.6,7.71,10,27.9,3.95,1.55,0.88,1.685
4.415549327,1631,43.1,10.84,13.5,17,4.3,1.36,1.13,2.129
4.548011772,1638,45.1,9.64,12,17.7,4.35,1.41,1.04,2.21
4.574710979,1617,46.6,9.8,14.6,13.3,4.94,1.37,1.15,2.329
4.518158809,1632,47.7,8.61,14.6,13,4.77,1.89,1.2,2.809
4.362608549,1647,45.8,10.88,13.2,12.9,4.69,1.85,1.15,2.65
4.356708827,1678,48.6,11.1,11,15.4,3.85,1.39,0.85,2.03
4.081441157,1692,44.9,9.85,12.5,16.6,3.82,1.49,0.83,1.882
4.586821047,1642,47.8,7.99,12.4,15.1,4.6,1.87,1.07,2.809
4.710530702,1629,42,11.5,12.3,17.2,4.73,2.38,0.99,2.304
4.447984602,1644,43.2,11.01,15.1,15.8,4.59,1.69,1.18,2.12
4.382026635,1646,38.8,11.79,10.4,19.5,5.01,3.06,0.91,2.318
4.86753445,1627,41.8,8.44,10.3,19.7,4.67,2.87,0.82,2.601
5.111987788,1633,42.2,8.79,8.3,21.8,4.04,2.11,0.6,2.04
4.48863637,1632,40.4,10.13,9.1,22.2,4.49,2.77,0.69,2.209
4.605170186,1641,43.4,10.43,10.9,18.7,4.53,1.75,0.92,2.228
4.510859507,1655,45,8.99,11.9,17.4,4.27,2.09,0.95,2.292
4.359037116,1645,43,12.65,10.9,18,4.52,1.85,0.88,2.108
4.447984602,1627,41.1,11.85,12.4,18.9,4.88,1.81,1.01,2.318
4.553876892,1640,40,8.88,10.6,20.7,4.45,1.91,0.86,2.291
4.32853795,1654,43.4,11.58,11.3,17.9,4.27,1.76,0.88,2.279
4.360973225,1667,47.8,9.25,12.4,15.1,4.29,1.86,1.02,2.482
4.787491743,1636,43.3,10.09,10.4,19.7,4.19,1.62,0.85,2.105
4.856484614,1639,44.9,8.73,10.3,20,4.29,1.49,0.85,2.234
4.579852378,1660,43.7,10.08,10.7,19.6,4.17,1.71,0.85,1.938
4.616220022,1653,43.3,8.93,12.2,17.7,4.63,1.88,1.03,2.293
4.041700829,1664,41.9,8.35,11.3,22.2,3.71,1.43,0.91,1.887
4.33946702,1653,51.6,8.53,12,13.3,3.98,1.61,1.12,2.59
4.777020443,1637,47.5,8.66,12.8,14.8,4.17,1.53,1.05,2.525
4.510859507,1650,44.3,8.2,12.6,17.5,4.38,2.01,1.08,2.403
4.59511985,1641,47.5,10.34,11.7,14.9,4.44,2.03,1.01,2.661
4.023248641,1650,51.4,9.51,14.8,10.7,3.93,1.97,1.3,2.659
4.371555335,1656,45.5,9.57,12.4,14.9,4.28,2.15,1.06,2.526
4.458566712,1654,39.6,9.98,10.6,21.5,4.56,1.97,0.85,2.47
4.217404655,1628,35.6,8.69,10.2,25,4.83,1.65,0.84,2.457
4.404499491,1623,36.2,7.24,10.5,27.4,4.68,2.23,1,2.423
3.871201011,1656,45,10.76,10.8,18.4,3.66,1.14,0.98,1.844
4.152164133,1695,43.9,10.19,12.6,16.9,4.29,1.36,1.17,2.415
3.675634227,1671,51.2,13.19,11.3,12.4,2.88,1.02,1,1.903
4.248495242,1642,45.6,8.67,13.5,17.6,3.69,1.04,1.16,2.155
4.350277936,1651,43.5,8.68,12.4,18.3,4.25,1.82,1.04,2.338
4.359037116,1656,51.5,10.24,12,13.3,3.29,1.78,0.98,1.868
3.828641396,1690,52.3,8.57,12,14,4.05,1.6,1.13,2.643
4.01863274,1647,46.2,10.19,11.5,16.7,4.05,1.72,1,2.079
3.966090227,1689,45,11.2,13.2,15.5,4.36,1.06,0.92,2.404
4.350277936,1680,47.6,9.89,11,17,4.18,1.42,1.08,2.831
4.700480366,1644,42,9.6,10.5,21.4,4.21,1.54,0.92,2.002
4.755743044,1634,43.5,9.53,11.4,18.4,4.46,1.82,0.94,2.291
4.700480366,1632,47.3,8,12.5,16.3,4.63,2.15,1.12,2.607
4.680071494,1630,47.2,7.39,10.7,18.1,4.35,1.71,0.87,2.524
4.418840608,1632,47.4,13.42,10.1,14.9,4.2,1.52,0.84,2.163
4.489657299,1646,46.1,7.97,12.9,16.3,4.53,1.86,1.12,2.635
4.382026635,1643,46.3,7.05,12.5,16.5,4.22,2.92,1.09,2.402
4.17438727,1656,43.1,11.6,11.3,17.8,4.27,1.75,0.87,2.277
4.711779921,1644,44.3,10.19,12.7,17,4.33,1.38,1.17,2.398
4.191983032,1628,42.7,12.63,10.9,17.9,4.48,1.9,0.87,2.11
3.69969037,1692,43.2,12.17,16.3,12.9,4.24,2.54,1.27,2.513
4.39332619,1655,44.8,8.72,14.3,15.8,4.19,2.04,1.1,2.218
4.073291153,1634,44.1,9.08,12.1,17.7,4.49,1.93,1,2.281
5.085536602,1610,45.4,10.16,13.5,16.3,4.44,1.81,1.2,2.457
4.301983927,1676,43.6,12.63,12,15.2,4.75,2.39,0.99,2.31
4.65396035,1634,44.1,11.71,11.7,17.8,3.18,1.92,0.84,1.977
